Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Patrick Taylor,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,600,DraftKings
Emari Demercado,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,650,DraftKings
Chris Conley,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,800,DraftKings
Eric Saubert,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,800,DraftKings
Trey Benson,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,700,DraftKings
Ronnie Bell,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,950,DraftKings
Jake Tonges,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,1200,DraftKings
Tip Reiman,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,950,DraftKings
Jacob Cowing,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,1300,DraftKings
Chris Moore,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,950,DraftKings
