player_name,team,opponent_team,position,predicted_touchdown_probability,price,market_implied_prob,model_edge
Robert Woods,PIT,NYJ,WR,0.12883481351794865,650.0,0.13333333333333333,-0.004498519815384683
DeAndre Carter,CLE,CIN,WR,0.12882666947094876,1100.0,0.08333333333333333,0.04549333613761543
Noah Gray,KC,LAC,TE,0.1286994108309054,400.0,0.2,-0.07130058916909462
Jordan Mason,MIN,CHI,RB,0.12862054076540252,150.0,0.4,-0.2713794592345975
Raheem Blackshear,CAR,JAX,RB,0.1283609196792262,1400.0,0.06666666666666667,0.06169425301255953
Tyrell Shavers,BUF,BAL,WR,0.12814062588771818,1100.0,0.08333333333333333,0.044807292554384856
Brevyn Spann-Ford,DAL,PHI,TE,0.1274442559292254,1600.0,0.058823529411764705,0.06862072651746069
Parris Campbell,DAL,PHI,WR,0.12715135443241293,1200.0,0.07692307692307693,0.050228277509336006
Luke McCaffrey,WAS,NYG,WR,0.12664621011905017,500.0,0.16666666666666666,-0.04002045654761649
Colby Parkinson,LA,HOU,TE,0.1265541632301815,750.0,0.11764705882352941,0.0089071044066521
Samori Toure,CHI,MIN,WR,0.12655160666152399,1500.0,0.0625,0.06405160666152399
Hassan Haskins,LAC,KC,RB,0.12655154198162316,650.0,0.13333333333333333,-0.00678179135171017
Lucas Krull,DEN,TEN,TE,0.12654475279508737,950.0,0.09523809523809523,0.031306657556992135
Tommy Tremble,CAR,JAX,TE,0.12605228536395174,360.0,0.21739130434782608,-0.09133901898387434
Ben Sims,GB,DET,TE,0.12582372964559277,1400.0,0.06666666666666667,0.0591570629789261
Ko Kieft,TB,ATL,TE,0.1256581502850792,1300.0,0.07142857142857142,0.05422957885650778
Trevor Lawrence,JAX,CAR,QB,0.12552100839585748,425.0,0.19047619047619047,-0.06495518208033299
Khalil Herbert,IND,MIA,RB,0.12546914383804306,475.0,0.17391304347826086,-0.04844389964021781
Trey Palmer,TB,ATL,WR,0.12536186243535824,900.0,0.1,0.025361862435358234
Bo Nix,DEN,TEN,QB,0.125004970539834,310.0,0.24390243902439024,-0.11889746848455623
Andre Baccellia,ARI,NO,WR,0.12491714407271845,1600.0,0.058823529411764705,0.06609361466095375
